name,score
tuning-job-1-42af6ba1a1ef4374b7-001-a313cd63,0.93517
tuning-job-1-42af6ba1a1ef4374b7-004-caab0631,0.93092
tuning-job-1-42af6ba1a1ef4374b7-003-0ce2d71e,0.93092
tuning-job-1-42af6ba1a1ef4374b7-005-83e477d7,0.9282
tuning-job-1-42af6ba1a1ef4374b7-002-a0f3ceb5,0.90542
